"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"occupationgroup","67068e9c85654550e384dee8","67068e9c85654550e384dee9","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384dee9","67068e9c85654550e384deea","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384deea","67068e9c85654550e384deeb","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384dee8","67068e9c85654550e384deec","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384deec","67068e9c85654550e384deed","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384deed","67068e9c85654550e384deee","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384dee8","67068e9c85654550e384deef","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384deef","67068e9c85654550e384def0","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384def0","67068e9c85654550e384def1","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384def2","67068e9c85654550e384def3","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384def3","67068e9c85654550e384def4","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384def4","67068e9c85654550e384def5","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384def4","67068e9c85654550e384def6","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384def4","67068e9c85654550e384def7","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384def4","67068e9c85654550e384def8","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384def3","67068e9c85654550e384def9","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384def9","67068e9c85654550e384defa","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384def2","67068e9c85654550e384defb","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384defb","67068e9c85654550e384defc","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384defc","67068e9c85654550e384defd","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384defc","67068e9c85654550e384defe","occupationgroup","2024-10-09T14:09:53.570Z","2024-10-09T14:09:53.570Z"
"occupationgroup","67068e9c85654550e384defc","67068e9c85654550e384deff","occupationgroup","2024-10-09T14:09:53.571Z","2024-10-09T14:09:53.571Z"
"occupationgroup","67068e9c85654550e384defc","67068e9c85654550e384df00","occupationgroup","2024-10-09T14:09:53.571Z","2024-10-09T14:09:53.571Z"
"occupationgroup","67068e9c85654550e384defb","67068e9c85654550e384df01","occupationgroup","2024-10-09T14:09:53.571Z","2024-10-09T14:09:53.571Z"
"occupationgroup","67068e9c85654550e384df01","67068e9c85654550e384df02","occupationgroup","2024-10-09T14:09:53.571Z","2024-10-09T14:09:53.571Z"
"occupationgroup","67068e9c85654550e384df01","67068e9c85654550e384df03","occupationgroup","2024-10-09T14:09:53.571Z","2024-10-09T14:09:53.571Z"
"occupationgroup","67068e9c85654550e384df01","67068e9c85654550e384df04","occupationgroup","2024-10-09T14:09:53.571Z","2024-10-09T14:09:53.571Z"
"occupationgroup","67068e9c85654550e384def2","67068e9c85654550e384df05","occupationgroup","2024-10-09T14:09:53.571Z","2024-10-09T14:09:53.571Z"
"occupationgroup","67068e9c85654550e384df05","67068e9c85654550e384df06","occupationgroup","2024-10-09T14:09:53.571Z","2024-10-09T14:09:53.571Z"
"occupationgroup","67068e9c85654550e384df06","67068e9c85654550e384df07","occupationgroup","2024-10-09T14:09:53.571Z","2024-10-09T14:09:53.571Z"
"occupationgroup","67068e9c85654550e384df06","67068e9c85654550e384df08","occupationgroup","2024-10-09T14:09:53.571Z","2024-10-09T14:09:53.571Z"
"occupationgroup","67068e9c85654550e384df05","67068e9c85654550e384df09","occupationgroup","2024-10-09T14:09:53.571Z","2024-10-09T14:09:53.571Z"
"occupationgroup","67068e9c85654550e384df09","67068e9c85654550e384df0a","occupationgroup","2024-10-09T14:09:53.571Z","2024-10-09T14:09:53.571Z"
"occupationgroup","67068e9c85654550e384df09","67068e9c85654550e384df0b","occupationgroup","2024-10-09T14:09:53.571Z","2024-10-09T14:09:53.571Z"
"occupationgroup","67068e9c85654550e384df09","67068e9c85654550e384df0c","occupationgroup","2024-10-09T14:09:53.571Z","2024-10-09T14:09:53.571Z"
