"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"skillgroup","67068e9e85654550e384e37c","67068e9e85654550e384e163","skillgroup","2024-10-09T14:09:57.233Z","2024-10-09T14:09:57.233Z"
"skillgroup","67068e9e85654550e384e163","67068e9e85654550e384e164","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e164","67068e9e85654550e384e165","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e163","67068e9e85654550e384e166","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e166","67068e9e85654550e384e167","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e163","67068e9e85654550e384e168","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e168","67068e9e85654550e384e169","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e163","67068e9e85654550e384e16a","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e16a","67068e9e85654550e384e16b","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e163","67068e9e85654550e384e16c","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e16c","67068e9e85654550e384e16d","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e37c","67068e9e85654550e384e16e","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e16e","67068e9e85654550e384e16f","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e16f","67068e9e85654550e384e170","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e16f","67068e9e85654550e384e171","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e16f","67068e9e85654550e384e172","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e16f","67068e9e85654550e384e173","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e16f","67068e9e85654550e384e174","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e16f","67068e9e85654550e384e175","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e16e","67068e9e85654550e384e176","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e176","67068e9e85654550e384e177","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e37c","67068e9e85654550e384e178","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e178","67068e9e85654550e384e179","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e179","67068e9e85654550e384e17a","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e178","67068e9e85654550e384e17b","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e17b","67068e9e85654550e384e17c","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e17b","67068e9e85654550e384e17d","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
"skillgroup","67068e9e85654550e384e17b","67068e9e85654550e384e17e","skillgroup","2024-10-09T14:09:57.234Z","2024-10-09T14:09:57.234Z"
